vendor,device_name,version,release_date,file_name,file_path
ASUS,RT-AC86U,v3.0.0.4.382.16466,10-16-2017,RT-AC86U_3.0.0.4_382_16466-ge464b63_cferom_ubi.w,RT-AC86U\FW_RT_AC86U_300438216466
ASUS,RT-AC86U,v3.0.0.4.384.21140,7-10-2018,RT-AC86U_3.0.0.4_384_21140-ge07a2dd_cferom_ubi.w,RT-AC86U\FW_RT_AC86U_300438421140
ASUS,RT-AC86U,v3.0.0.4.386.44470,7-14-2021,RT-AC86U_3.0.0.4_386_44470-g53bccb8_cferom_ubi.w,RT-AC86U\FW_RT_AC86U_300438644470
ASUS,RT-AX55,v3.0.0.4.384.9713,8-4-2020,RT-AX55_3.0.0.4_384_9713-g0ab14cb_cferom_pureubi.w,RT-AX55\FW_RT_AX55_30043849713
ASUS,RT-AX55,v3.0.0.4.386.45375,8-26-2021,FW_RT_AX55_300438645375.w,RT-AX55\FW_RT_AX55_300438645375
ASUS,RT-AX55,v3.0.0.4.386.45898,10-7-2021,FW_RT_AX55_300438645898.w,RT-AX55\FW_RT_AX55_300438645898
ASUS,RT-AX88U,v3.0.0.4.384.4730,9-20-2018,RT-AX88U_3.0.0.4_384_4730-g8d74d3c_cferom_ubi.w,RT-AX88U\FW_RT_AX88U_30043844730
ASUS,RT-AX88U,v3.0.0.4.386.45898,10-6-2021,FW_RT_AX88U_300438645898.w,RT-AX88U\FW_RT_AX88U_300438645898
D-Link,DIR-L-1900-US,v1.03B-3,11-24-2020,DIR-L1900A1_FW1.03B03.bin,DIR-L-1900-US\DIR-L1900_REVA_FIRMWARE_v1.03B03
Linksys,WRT3200ACM,v1.0.8_199531,2-13-2020,FW_WRT3200ACM_1.0.8.199531_prod.img,WRT3200ACM
NETGEAR,Nighthawk R6700,v1.0.0.2,11-28-2016,R6700-V1.0.0.2_1.0.1.chk,Nighthawk\R6700\V1.0.0.2
NETGEAR,Nighthawk R6700,v1.0.2.26,9-16-2021,R6700-V1.0.2.26_10.0.61.chk,Nighthawk\R6700\V1.0.2.26
NETGEAR,Nighthawk R7000,v1.0.0.96,12-13-2020,R7000-V1.0.0.96_1.0.15.chk,Nighthawk\R7000\R7000-V1.0.0.96_1.0.15
NETGEAR,Nighthawk R7000,v1.0.11.128,1-19-2021,R7000-V1.0.11.128_10.2.112.chk,Nighthawk\R7000\R7000-V1.0.11.128_10.2.112
NETGEAR,Nighthawk R7000,v1.0.11.208,9-15-2021,R7000-V1.0.11.208_10.2.101.chk,Nighthawk\R7000\R7000-V1.0.11.208_10.2.101
NETGEAR,Nighthawk R7350,v1.2.0.62,10-29-2019,R7350-V1.2.0.62_1.0.1.img,Nighthawk\R7350\R7350-V1.2.0.62_1.0.1
NETGEAR,Nighthawk R7350,v1.2.0.74,9-1-2020,R7350-V1.2.0.74_1.0.1.img,Nighthawk\R7350\R7350-V1.2.0.74_1.0.1
NETGEAR,Nighthawk R7350,v1.2.0.88,8-23-2021,R7350_V1.2.0.88_1.0.1.img,Nighthawk\R7350\R7350_V1.2.0.88_1.0.1
NETGEAR,Nighthawk R8000P,v1.0.1.4,6-20-2017,R8000P-V1.0.1.4_1.0.61.chk,Nighthawk\R8000P\R8000P-V1.0.1.4_1.0.61
NETGEAR,Nighthawk R8000P,v1.4.1.68,1-8-2021,R8000P-V1.4.1.68_1.3.28.chk,Nighthawk\R8000P\R8000P-V1.4.1.68_1.3.28
NETGEAR,Nighthawk R8000P,v1.4.1.82,1-1-1970,R8000P-V1.4.1.82_1.3.40.chk,Nighthawk\R8000P\R8000P-V1.4.1.82_1.3.40_hotfix
NETGEAR,Nighthawk R8000P,v1.4.2.84,10-8-2021,R8000P-V1.4.2.84_1.3.42.chk,Nighthawk\R8000P\R8000P-V1.4.2.84_1.3.42
NETGEAR,R6330,v1.1.0.66,6-29-2020,R6330-V1.1.0.66.img,R6330\R6330-V1.1.0.66_1.0.1
NETGEAR,R6330,v1.1.0.78,12-7-2020,R6330_V1.1.0.78_1.0.1.img,R6330\V1.1.0.78_1.0.1
NETGEAR,R6330,v1.1.0.84,8-26-2021,R6330_V1.1.0.84_1.0.1.img,R6330\V1.1.0.84_1.0.1
NETGEAR,R6700AX,v1.0.1.78,9-19-2019,R6700AX-V1.0.1.78.img,R6700AX\R6700AX-V1.0.1.78
NETGEAR,R6700AX,v1.0.2.88,1-25-2021,R6700AX-V1.0.2.88.img,R6700AX\V1.0.2.88
NETGEAR,R6700AX,v1.0.5.108,9-15-2021,R6700AX-V1.0.5.108.img,R6700AX\V1.0.5.108
NETGEAR,R6700AX,v1.0.10.110,10-26-2021,R6700AX-V1.0.10.110.img,R6700AX\R6700AX-V1.0.10.110
Tenda,AC6V2,v15.03.06.50,10-12-2018,US_AC6V2.0RTL_V15.03.06.50_multi_TDE01.bin,AC6\US_AC6V2.0RTL_V15.03.06.50_multi_TDE01
Tenda,AC6V5,v02.03.01.109,1-29-2021,US_AC6V5.0re_V02.03.01.109_multi_TDE01.bin,AC6\US_AC6V5.0re_V02.03.01.109_multi_TDE01
TP-Link,Archer A5,v0.9.1_0.1,11-29-2018,Archer_C50v5_US_0.9.1_0.1_up_boot[181019-rel58740].bin,Archer\A5\Archer_C50A5(US)_V5_181019
TP-Link,Archer A6 V2,v1.1.5,12-16-2019,ArcherA6v2_us_tw_c6us-up-ver1-1-5-P1[20191112-rel36515].bin,Archer\A6\V2\Archer_A6(US)_V2_191112
TP-Link,Archer A6 V2,v1.1.8,6-10-2021,Archer a6us-up-ver1-1-8-P1[20210226-rel34930].bin,Archer\A6\V2\Archer_A6(US)_V2_210226
TP-Link,Archer A6 V3,v1.0.1,8-20-2020,a6v3_us-up-ver1-0-1-P1[20200703-rel71363]_2020-07-03_19.47.44.bin,Archer\A6\V3\Archer_A6(US)_V3_200703
TP-Link,Archer A6 V3,v1.0.10,7-23-2021,a6c6_v3-up-ver1-0-10-P1[20210513-rel63256]_2021-05-13_17.34.01.bin,Archer\A6\V3\Archer_A6(US)_V3_210513
TP-Link,Archer A7,v1.1.0,12-22-2020,a7v5_us-up-ver1-1-0-P1[20201120-rel50399].bin,Archer\A7\Archer_A7(US)_V5_201120
TP-Link,Archer A7,v1.1.3,8-20-2021,a7v5_us-up-ver1-1-3-P1[20210519-rel50574].bin,Archer\A7\Archer_A7(US)_V5_210519
TP-Link,Archer A8,v15.38.30,4-12-2021,a8v1-up-noboot_2020-12-31_15.38.30.bin,Archer\A8\Archer_A8(US)_V1_201003
TP-Link,Archer A8,v17.19.50,2-4-2021,a8v1-up-noboot_2021-03-08_17.19.50.bin,Archer\A8\Archer_A8(US)_V1_210308
TP-Link,Archer A9,v1.0.6,3-23-2020,a9v6_us_ru-up-ver1-0-6-P1[20200114-rel73164]_2020-01-14_20.24.34.bin,Archer\A9\Archer_A9(US)_V6_200114
TP-Link,Archer A9,v1.1.1,6-10-2021,a9v6_us_ru-up-ver1-1-1-P1[20210315-rel40637]_2021-03-15_11.20.13.bin,Archer\A9\Archer_A9(US)_V6_210315
TP-Link,Archer A20,unknown,12-2-2019,Archer A20(US)V3_20191026_rel.16299.bin,Archer\A20\Archer_A20(US)V3_20191026_rel.16299
TP-Link,Archer AX21,1.2.1,12-22-2020,ax21v1.20-up-ver1-2-1-P2[20201202-rel76564]_sign_2020-12-03_10.44.06.bin,Archer\AX21\Archer_AX21_V1.2_201202
TP-Link,Archer AX21,1.3.1,6-15-2021,ax21v1.20-up-ver1-3-1-P1[20210521-rel72254]_sign_2021-05-21_20.13.51.bin,Archer\AX21\Archer_AX21_v1.20_210521
TP-Link,Archer AX50,1.0.8,4-30-2020,ax50v1_intel-up-ver1-0-8-P1[20200426-rel65338]_signed.bin,Archer\AX50\Archer_AX50(US)_V1_200426
TP-Link,Archer AX50,1.0.11,9-9-2021,ax50v1_intel-up-ver1-0-11-P1[20210730-rel54485]_signed.bin,Archer\AX50\Archer_AX50(US)_V1_210730
TP-Link,Archer AX73,1.0.1,9-29-2020,ax73v1-us-up-ver1-0-1-P1[20200908-rel69273]_signed.bin,Archer\AX73\Archer_AX73(US)_V1_200908
TP-Link,Archer AX73,1.0.4,8-19-2021,ax73v1-us-up-ver1-0-4-P1[20210717-rel62921]_signed.bin,Archer\AX73\Archer_AX73(US)_V1_210717
TP-Link,TL-WR940N,v3.18.1,10-11-2017,wr940nv6_us_3_18_1_up_boot(171011).bin,TL-WR940N\TL-WR940N(US)_V6_171011
TP-Link,TL-WR940N,v3.20.1,4-30-2020,wr940nv6_us_3_20_1_up_boot(200316).bin,TL-WR940N\TL-WR940N(US)_V6_200316
Ubiquiti,UAP-AC-PRO,v5.43.43,8-26-2021,BZ.qca956x_5.43.43+12741.210818.2135.bin,UAP-AC-PRO\5.43.43
Ubiquiti,UAP-AC-PRO,v5.43.46,10-7-2021,BZ.qca956x_5.43.46+12754.210928.2142.bin,UAP-AC-PRO\5.43.46